department,create_time,biz_name,level,stability_scan,scan_timeliness,stability_clean,cleaning_timeliness,stability_convert,conversion_timeliness,stability_warehouse,warehousing_timeliness,stability_check,inspection_timeliness,accuracy_sample_field,consistency_file_record,completeness_file_field,uniqueness_primary_key,normativity_field_format,statistic_cycle,statistic_week_month,metric_trend_id
业务管理室,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932837
业务管理室,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932838
云计算和客户响应中心,20250727,-,P5,100%,100%,100%,66%,100%,66%,100%,66%,100%,66%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932839
云计算和客户响应中心,20250727,一经,P0,100%,100%,100%,100%,100%,66%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932840
云计算和客户响应中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932841
产品研发中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932842
产品研发中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932843
信息系统部,20250727,-,P3,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932844
信息系统部,20250727,一经,P0,100%,98%,100%,91%,100%,68%,100%,85%,100%,86%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932845
信息系统部,20250727,掌经,P0,100%,100%,100%,81%,100%,75%,100%,90%,100%,90%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932846
内审部,20250727,-,P5,100%,100%,100%,100%,100%,74%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932847
内审部,20250727,一经,P0,100%,100%,100%,90%,100%,72%,100%,90%,100%,90%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932848
客户响应中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932849
客户服务中心,20250727,一经,P0,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932850
客户服务部,20250727,-,P3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932851
客户运营中心,20250727,-,P5,100%,100%,100%,99%,100%,74%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932852
客户运营中心,20250727,一经,P0,100%,100%,100%,81%,100%,71%,100%,81%,100%,81%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932853
客户运营中心,20250727,掌经,P0,100%,100%,100%,83%,100%,83%,100%,83%,100%,83%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932854
客户运营中心-政企运营室,20250727,-,P5,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932855
家庭中心,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932856
市场部,20250727,-,P5,100%,99%,100%,95%,100%,87%,100%,97%,100%,98%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932857
市场部,20250727,一经,P0,100%,100%,100%,75%,100%,63%,100%,75%,100%,75%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932858
市场部,20250727,大音,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932859
市场部,20250727,掌经,P0,100%,100%,100%,93%,100%,66%,100%,93%,100%,93%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932860
政企客户中心,20250727,一经,P0,100%,100%,100%,80%,100%,80%,100%,80%,100%,80%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932861
政企客户部,20250727,-,P5,100%,100%,100%,74%,100%,69%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932862
政企客户部,20250727,一经,P0,100%,99%,100%,78%,100%,73%,100%,80%,100%,79%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932863
政企客户部,20250727,掌经,P0,100%,100%,100%,98%,100%,98%,100%,98%,100%,98%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932864
服务管理部,20250727,-,P5,100%,100%,100%,100%,100%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932865
服务管理部,20250727,一经,P0,100%,97%,100%,73%,100%,58%,100%,78%,100%,78%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932866
服务管理部,20250727,大音,P0,100%,100%,100%,80%,100%,80%,100%,80%,100%,80%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932867
服务管理部,20250727,掌经,P0,100%,100%,100%,85%,100%,85%,100%,85%,100%,85%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932868
江门分公司,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932869
渠道中心,20250727,一经,P0,100%,100%,100%,83%,100%,33%,100%,83%,100%,83%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932870
渠道中心,20250727,掌经,P0,100%,100%,100%,100%,100%,66%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932871
渠道运营中心,20250727,-,P5,100%,100%,100%,96%,100%,71%,100%,98%,100%,98%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932872
渠道运营中心,20250727,一经,P0,100%,99%,100%,87%,100%,64%,100%,85%,100%,86%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932873
渠道运营中心,20250727,掌经,P0,100%,100%,100%,100%,100%,84%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932874
网格和渠道运营中心,20250727,-,P5,100%,100%,100%,99%,100%,87%,100%,100%,100%,99%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932875
网格和渠道运营中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932876
网络管理中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932877
网络管理中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932878
网络管理中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932879
网络部,20250727,-,P5,100%,100%,100%,100%,100%,9%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932880
计划建设部,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932881
财务部,20250727,-,P5,100%,100%,100%,97%,100%,73%,100%,98%,100%,98%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932882
财务部,20250727,一经,P0,100%,100%,100%,96%,100%,71%,100%,96%,100%,96%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932883
财务部,20250727,掌经,P1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932884
集团客户部,20250727,-,P4,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932885
集团客户部,20250727,一经,P0,100%,98%,100%,80%,100%,61%,100%,81%,100%,86%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932886
集团客户部,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250707-20250713,1753962932887
-,20250727,-,P3,100%,100%,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932888
-,20250727,一经,P0,100%,98%,100%,77%,100%,70%,100%,81%,100%,81%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932889
-,20250727,大音,P0,100%,100%,100%,66%,100%,66%,100%,83%,100%,83%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932890
-,20250727,掌经,P0,100%,100%,100%,88%,100%,85%,100%,94%,100%,93%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932891
业务室,20250727,-,P5,100%,100%,100%,100%,100%,35%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932892
业务室,20250727,一经,P0,100%,100%,100%,100%,100%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932893
业务室,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932894
业务管理室,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932895
业务管理室,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932896
云计算和客户响应中心,20250727,-,P5,100%,100%,100%,66%,100%,66%,100%,66%,100%,66%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932897
云计算和客户响应中心,20250727,一经,P0,100%,100%,100%,100%,100%,66%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932898
云计算和客户响应中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932899
产品研发中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932900
产品研发中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932901
信息系统部,20250727,-,P3,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932902
信息系统部,20250727,一经,P0,100%,98%,100%,91%,100%,68%,100%,85%,100%,86%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932903
信息系统部,20250727,掌经,P0,100%,100%,100%,81%,100%,75%,100%,90%,100%,90%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932904
内审部,20250727,-,P5,100%,100%,100%,100%,100%,74%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932905
内审部,20250727,一经,P0,100%,100%,100%,90%,100%,72%,100%,90%,100%,90%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932906
客户响应中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932907
客户服务中心,20250727,一经,P0,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932908
客户服务部,20250727,-,P3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932909
客户运营中心,20250727,-,P5,100%,100%,100%,99%,100%,74%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932910
客户运营中心,20250727,一经,P0,100%,100%,100%,81%,100%,71%,100%,81%,100%,81%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932911
客户运营中心,20250727,掌经,P0,100%,100%,100%,83%,100%,83%,100%,83%,100%,83%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932912
客户运营中心-政企运营室,20250727,-,P5,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932913
家庭中心,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932914
市场部,20250727,-,P5,100%,99%,100%,95%,100%,87%,100%,97%,100%,98%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932915
市场部,20250727,一经,P0,100%,100%,100%,75%,100%,63%,100%,75%,100%,75%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932916
市场部,20250727,大音,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932917
市场部,20250727,掌经,P0,100%,100%,100%,93%,100%,66%,100%,93%,100%,93%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932918
政企客户中心,20250727,一经,P0,100%,100%,100%,80%,100%,80%,100%,80%,100%,80%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932919
政企客户部,20250727,-,P5,100%,100%,100%,74%,100%,69%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932920
政企客户部,20250727,一经,P0,100%,99%,100%,78%,100%,73%,100%,80%,100%,79%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932921
政企客户部,20250727,掌经,P0,100%,100%,100%,98%,100%,98%,100%,98%,100%,98%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932922
服务管理部,20250727,-,P5,100%,100%,100%,100%,100%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932923
服务管理部,20250727,一经,P0,100%,97%,100%,73%,100%,58%,100%,78%,100%,78%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932924
服务管理部,20250727,大音,P0,100%,100%,100%,80%,100%,80%,100%,80%,100%,80%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932925
服务管理部,20250727,掌经,P0,100%,100%,100%,85%,100%,85%,100%,85%,100%,85%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932926
江门分公司,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932927
渠道中心,20250727,一经,P0,100%,100%,100%,83%,100%,33%,100%,83%,100%,83%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932928
渠道中心,20250727,掌经,P0,100%,100%,100%,100%,100%,66%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932929
渠道运营中心,20250727,-,P5,100%,100%,100%,96%,100%,71%,100%,98%,100%,98%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932930
渠道运营中心,20250727,一经,P0,100%,99%,100%,87%,100%,64%,100%,85%,100%,86%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932931
渠道运营中心,20250727,掌经,P0,100%,100%,100%,100%,100%,84%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932932
网格和渠道运营中心,20250727,-,P5,100%,100%,100%,99%,100%,87%,100%,100%,100%,99%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932933
网格和渠道运营中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932934
网络管理中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932935
网络管理中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932936
网络管理中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932937
网络部,20250727,-,P5,100%,100%,100%,100%,100%,9%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932938
计划建设部,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932939
财务部,20250727,-,P5,100%,100%,100%,97%,100%,73%,100%,98%,100%,98%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932940
财务部,20250727,一经,P0,100%,100%,100%,96%,100%,71%,100%,96%,100%,96%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932941
财务部,20250727,掌经,P1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932942
集团客户部,20250727,-,P4,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932943
集团客户部,20250727,一经,P0,100%,98%,100%,80%,100%,61%,100%,81%,100%,86%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932944
集团客户部,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250630-20250706,1753962932945
-,20250727,-,P3,100%,100%,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932946
-,20250727,一经,P0,100%,98%,100%,77%,100%,70%,100%,81%,100%,81%,100%,100%,100%,100%,100%,3,202506,1753962932947
-,20250727,大音,P0,100%,100%,100%,66%,100%,66%,100%,83%,100%,83%,100%,100%,100%,100%,100%,3,202506,1753962932948
-,20250727,掌经,P0,100%,100%,100%,88%,100%,85%,100%,94%,100%,93%,100%,100%,100%,100%,100%,3,202506,1753962932949
业务室,20250727,-,P5,100%,100%,100%,100%,100%,35%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932950
业务室,20250727,一经,P0,100%,100%,100%,100%,100%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932951
业务室,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932952
业务管理室,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932953
业务管理室,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932954
云计算和客户响应中心,20250727,-,P5,100%,100%,100%,66%,100%,66%,100%,66%,100%,66%,100%,100%,100%,100%,100%,3,202506,1753962932955
云计算和客户响应中心,20250727,一经,P0,100%,100%,100%,100%,100%,66%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932956
云计算和客户响应中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932957
产品研发中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932958
产品研发中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932959
信息系统部,20250727,-,P3,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932960
信息系统部,20250727,一经,P0,100%,98%,100%,91%,100%,68%,100%,85%,100%,86%,100%,100%,100%,100%,100%,3,202506,1753962932961
信息系统部,20250727,掌经,P0,100%,100%,100%,81%,100%,75%,100%,90%,100%,90%,100%,100%,100%,100%,100%,3,202506,1753962932962
内审部,20250727,-,P5,100%,100%,100%,100%,100%,74%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932963
内审部,20250727,一经,P0,100%,100%,100%,90%,100%,72%,100%,90%,100%,90%,100%,100%,100%,100%,100%,3,202506,1753962932964
客户响应中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932965
客户服务中心,20250727,一经,P0,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932966
客户服务部,20250727,-,P3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932967
客户运营中心,20250727,-,P5,100%,100%,100%,99%,100%,74%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932968
客户运营中心,20250727,一经,P0,100%,100%,100%,81%,100%,71%,100%,81%,100%,81%,100%,100%,100%,100%,100%,3,202506,1753962932969
客户运营中心,20250727,掌经,P0,100%,100%,100%,83%,100%,83%,100%,83%,100%,83%,100%,100%,100%,100%,100%,3,202506,1753962932970
客户运营中心-政企运营室,20250727,-,P5,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932971
家庭中心,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932972
市场部,20250727,-,P5,100%,99%,100%,95%,100%,87%,100%,97%,100%,98%,100%,100%,100%,100%,100%,3,202506,1753962932973
市场部,20250727,一经,P0,100%,100%,100%,75%,100%,63%,100%,75%,100%,75%,100%,100%,100%,100%,100%,3,202506,1753962932974
市场部,20250727,大音,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932975
市场部,20250727,掌经,P0,100%,100%,100%,93%,100%,66%,100%,93%,100%,93%,100%,100%,100%,100%,100%,3,202506,1753962932976
政企客户中心,20250727,一经,P0,100%,100%,100%,80%,100%,80%,100%,80%,100%,80%,100%,100%,100%,100%,100%,3,202506,1753962932977
政企客户部,20250727,-,P5,100%,100%,100%,74%,100%,69%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932978
政企客户部,20250727,一经,P0,100%,99%,100%,78%,100%,73%,100%,80%,100%,79%,100%,100%,100%,100%,100%,3,202506,1753962932979
政企客户部,20250727,掌经,P0,100%,100%,100%,98%,100%,98%,100%,98%,100%,98%,100%,100%,100%,100%,100%,3,202506,1753962932980
服务管理部,20250727,-,P5,100%,100%,100%,100%,100%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932981
服务管理部,20250727,一经,P0,100%,97%,100%,73%,100%,58%,100%,78%,100%,78%,100%,100%,100%,100%,100%,3,202506,1753962932982
服务管理部,20250727,大音,P0,100%,100%,100%,80%,100%,80%,100%,80%,100%,80%,100%,100%,100%,100%,100%,3,202506,1753962932983
服务管理部,20250727,掌经,P0,100%,100%,100%,85%,100%,85%,100%,85%,100%,85%,100%,100%,100%,100%,100%,3,202506,1753962932984
江门分公司,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932985
渠道中心,20250727,一经,P0,100%,100%,100%,83%,100%,33%,100%,83%,100%,83%,100%,100%,100%,100%,100%,3,202506,1753962932986
渠道中心,20250727,掌经,P0,100%,100%,100%,100%,100%,66%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932987
渠道运营中心,20250727,-,P5,100%,100%,100%,96%,100%,71%,100%,98%,100%,98%,100%,100%,100%,100%,100%,3,202506,1753962932988
渠道运营中心,20250727,一经,P0,100%,99%,100%,87%,100%,64%,100%,85%,100%,86%,100%,100%,100%,100%,100%,3,202506,1753962932989
渠道运营中心,20250727,掌经,P0,100%,100%,100%,100%,100%,84%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932990
网格和渠道运营中心,20250727,-,P5,100%,100%,100%,99%,100%,87%,100%,100%,100%,99%,100%,100%,100%,100%,100%,3,202506,1753962932991
网格和渠道运营中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932992
网络管理中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932993
网络管理中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932994
网络管理中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932995
网络部,20250727,-,P5,100%,100%,100%,100%,100%,9%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932996
计划建设部,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962932997
财务部,20250727,-,P5,100%,100%,100%,97%,100%,73%,100%,98%,100%,98%,100%,100%,100%,100%,100%,3,202506,1753962932998
财务部,20250727,一经,P0,100%,100%,100%,96%,100%,71%,100%,96%,100%,96%,100%,100%,100%,100%,100%,3,202506,1753962932999
财务部,20250727,掌经,P1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962933000
集团客户部,20250727,-,P4,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962933001
集团客户部,20250727,一经,P0,100%,98%,100%,80%,100%,61%,100%,81%,100%,86%,100%,100%,100%,100%,100%,3,202506,1753962933002
集团客户部,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,3,202506,1753962933003
