department,create_time,statistic_cycle,biz_name,stability,timeliness,completeness,accuracy,consistency,uniqueness,normativity,object_type,level,interface_business_level_id
业务室,20250727,1,,100%,7%,100%,100%,100%,100%,100%,2,P0,1753962934820
业务室,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962934821
业务室,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962934822
业务室,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962934823
业务室,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962934824
业务室,20250727,1,,100%,2%,100%,100%,100%,100%,100%,2,P5,1753962934825
业务室,20250727,2,,100%,78%,100%,100%,100%,100%,100%,2,P0,1753962934826
业务室,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962934827
业务室,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962934828
业务室,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962934829
业务室,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962934830
业务室,20250727,2,,100%,68%,100%,100%,100%,100%,100%,2,P5,1753962934831
业务室,20250727,3,,100%,98%,100%,100%,100%,100%,100%,2,P0,1753962934832
业务室,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962934833
业务室,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962934834
业务室,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962934835
业务室,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962934836
业务室,20250727,3,,100%,87%,100%,100%,100%,100%,100%,2,P5,1753962934837
业务管理室,20250727,1,,100%,40%,100%,100%,100%,100%,100%,2,P0,1753962934838
业务管理室,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962934839
业务管理室,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962934840
业务管理室,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962934841
业务管理室,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962934842
业务管理室,20250727,1,,100%,0%,100%,100%,100%,100%,100%,2,P5,1753962934843
业务管理室,20250727,2,,100%,87%,100%,100%,100%,100%,100%,2,P0,1753962934844
业务管理室,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962934845
业务管理室,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962934846
业务管理室,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962934847
业务管理室,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962934848
业务管理室,20250727,2,,100%,60%,100%,100%,100%,100%,100%,2,P5,1753962934849
业务管理室,20250727,3,,100%,100%,100%,100%,100%,100%,100%,2,P0,1753962934850
业务管理室,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962934851
业务管理室,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962934852
业务管理室,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962934853
业务管理室,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962934854
业务管理室,20250727,3,,100%,80%,100%,100%,100%,100%,100%,2,P5,1753962934855
云计算和客户响应中心,20250727,1,,100%,21%,100%,100%,100%,100%,100%,2,P0,1753962934856
云计算和客户响应中心,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962934857
云计算和客户响应中心,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962934858
云计算和客户响应中心,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962934859
云计算和客户响应中心,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962934860
云计算和客户响应中心,20250727,1,,100%,36%,100%,100%,100%,100%,100%,2,P5,1753962934861
云计算和客户响应中心,20250727,2,,100%,77%,100%,100%,100%,100%,100%,2,P0,1753962934862
云计算和客户响应中心,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962934863
云计算和客户响应中心,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962934864
云计算和客户响应中心,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962934865
云计算和客户响应中心,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962934866
云计算和客户响应中心,20250727,2,,100%,64%,100%,100%,100%,100%,100%,2,P5,1753962934867
云计算和客户响应中心,20250727,3,,100%,96%,100%,100%,100%,100%,100%,2,P0,1753962934868
云计算和客户响应中心,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962934869
云计算和客户响应中心,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962934870
云计算和客户响应中心,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962934871
云计算和客户响应中心,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962934872
云计算和客户响应中心,20250727,3,,100%,72%,100%,100%,100%,100%,100%,2,P5,1753962934873
产品研发中心,20250727,1,,100%,100%,100%,100%,100%,100%,100%,2,P0,1753962934874
产品研发中心,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962934875
产品研发中心,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962934876
产品研发中心,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962934877
产品研发中心,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962934878
产品研发中心,20250727,1,,100%,14%,100%,100%,100%,100%,100%,2,P5,1753962934879
产品研发中心,20250727,2,,100%,100%,100%,100%,100%,100%,100%,2,P0,1753962934880
产品研发中心,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962934881
产品研发中心,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962934882
产品研发中心,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962934883
产品研发中心,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962934884
产品研发中心,20250727,2,,100%,88%,100%,100%,100%,100%,100%,2,P5,1753962934885
产品研发中心,20250727,3,,100%,100%,100%,100%,100%,100%,100%,2,P0,1753962934886
产品研发中心,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962934887
产品研发中心,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962934888
产品研发中心,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962934889
产品研发中心,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962934890
产品研发中心,20250727,3,,100%,100%,100%,100%,100%,100%,100%,2,P5,1753962934891
信息系统部,20250727,1,,99%,34%,100%,100%,100%,100%,100%,2,P0,1753962934892
信息系统部,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962934893
信息系统部,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962934894
信息系统部,20250727,1,,100%,80%,100%,100%,100%,100%,100%,2,P3,1753962934895
信息系统部,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962934896
信息系统部,20250727,1,,-,-,-,-,-,-,-,2,P5,1753962934897
信息系统部,20250727,2,,100%,76%,100%,100%,100%,100%,100%,2,P0,1753962934898
信息系统部,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962934899
信息系统部,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962934900
信息系统部,20250727,2,,100%,67%,100%,100%,100%,100%,100%,2,P3,1753962934901
信息系统部,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962934902
信息系统部,20250727,2,,-,-,-,-,-,-,-,2,P5,1753962934903
信息系统部,20250727,3,,100%,86%,100%,100%,100%,100%,100%,2,P0,1753962934904
信息系统部,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962934905
信息系统部,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962934906
信息系统部,20250727,3,,100%,80%,100%,100%,100%,100%,100%,2,P3,1753962934907
信息系统部,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962934908
信息系统部,20250727,3,,-,-,-,-,-,-,-,2,P5,1753962934909
内审部,20250727,1,,100%,54%,100%,100%,100%,100%,100%,2,P0,1753962934910
内审部,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962934911
内审部,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962934912
内审部,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962934913
内审部,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962934914
内审部,20250727,1,,100%,52%,100%,100%,100%,100%,100%,2,P5,1753962934915
内审部,20250727,2,,100%,82%,100%,100%,100%,100%,100%,2,P0,1753962934916
内审部,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962934917
内审部,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962934918
内审部,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962934919
内审部,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962934920
内审部,20250727,2,,100%,84%,100%,100%,100%,100%,100%,2,P5,1753962934921
内审部,20250727,3,,100%,88%,100%,100%,100%,100%,100%,2,P0,1753962934922
内审部,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962934923
内审部,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962934924
内审部,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962934925
内审部,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962934926
内审部,20250727,3,,100%,94%,100%,100%,100%,100%,100%,2,P5,1753962934927
客户响应中心,20250727,1,,-,-,-,-,-,-,-,2,P0,1753962934928
客户响应中心,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962934929
客户响应中心,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962934930
客户响应中心,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962934931
客户响应中心,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962934932
客户响应中心,20250727,1,,100%,100%,100%,100%,100%,100%,100%,2,P5,1753962934933
客户响应中心,20250727,2,,-,-,-,-,-,-,-,2,P0,1753962934934
客户响应中心,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962934935
客户响应中心,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962934936
客户响应中心,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962934937
客户响应中心,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962934938
客户响应中心,20250727,2,,100%,100%,100%,100%,100%,100%,100%,2,P5,1753962934939
客户响应中心,20250727,3,,-,-,-,-,-,-,-,2,P0,1753962934940
客户响应中心,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962934941
客户响应中心,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962934942
客户响应中心,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962934943
客户响应中心,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962934944
客户响应中心,20250727,3,,100%,100%,100%,100%,100%,100%,100%,2,P5,1753962934945
客户服务中心,20250727,1,,100%,80%,100%,100%,100%,100%,100%,2,P0,1753962934946
客户服务中心,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962934947
客户服务中心,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962934948
客户服务中心,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962934949
客户服务中心,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962934950
客户服务中心,20250727,1,,-,-,-,-,-,-,-,2,P5,1753962934951
客户服务中心,20250727,2,,100%,80%,100%,100%,100%,100%,100%,2,P0,1753962934952
客户服务中心,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962934953
客户服务中心,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962934954
客户服务中心,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962934955
客户服务中心,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962934956
客户服务中心,20250727,2,,-,-,-,-,-,-,-,2,P5,1753962934957
客户服务中心,20250727,3,,100%,80%,100%,100%,100%,100%,100%,2,P0,1753962934958
客户服务中心,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962934959
客户服务中心,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962934960
客户服务中心,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962934961
客户服务中心,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962934962
客户服务中心,20250727,3,,-,-,-,-,-,-,-,2,P5,1753962934963
客户服务部,20250727,1,,-,-,-,-,-,-,-,2,P0,1753962934964
客户服务部,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962934965
客户服务部,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962934966
客户服务部,20250727,1,,100%,100%,100%,100%,100%,100%,100%,2,P3,1753962934967
客户服务部,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962934968
客户服务部,20250727,1,,-,-,-,-,-,-,-,2,P5,1753962934969
客户服务部,20250727,2,,-,-,-,-,-,-,-,2,P0,1753962934970
客户服务部,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962934971
客户服务部,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962934972
客户服务部,20250727,2,,100%,100%,100%,100%,100%,100%,100%,2,P3,1753962934973
客户服务部,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962934974
客户服务部,20250727,2,,-,-,-,-,-,-,-,2,P5,1753962934975
客户服务部,20250727,3,,-,-,-,-,-,-,-,2,P0,1753962934976
客户服务部,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962934977
客户服务部,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962934978
客户服务部,20250727,3,,100%,100%,100%,100%,100%,100%,100%,2,P3,1753962934979
客户服务部,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962934980
客户服务部,20250727,3,,-,-,-,-,-,-,-,2,P5,1753962934981
客户运营中心,20250727,1,,100%,26%,100%,100%,100%,100%,100%,2,P0,1753962934982
客户运营中心,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962934983
客户运营中心,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962934984
客户运营中心,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962934985
客户运营中心,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962934986
客户运营中心,20250727,1,,100%,52%,100%,100%,100%,100%,100%,2,P5,1753962934987
客户运营中心,20250727,2,,100%,73%,100%,100%,100%,100%,100%,2,P0,1753962934988
客户运营中心,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962934989
客户运营中心,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962934990
客户运营中心,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962934991
客户运营中心,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962934992
客户运营中心,20250727,2,,100%,83%,100%,100%,100%,100%,100%,2,P5,1753962934993
客户运营中心,20250727,3,,100%,84%,100%,100%,100%,100%,100%,2,P0,1753962934994
客户运营中心,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962934995
客户运营中心,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962934996
客户运营中心,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962934997
客户运营中心,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962934998
客户运营中心,20250727,3,,100%,94%,100%,100%,100%,100%,100%,2,P5,1753962934999
客户运营中心-政企运营室,20250727,1,,-,-,-,-,-,-,-,2,P0,1753962935000
客户运营中心-政企运营室,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935001
客户运营中心-政企运营室,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935002
客户运营中心-政企运营室,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935003
客户运营中心-政企运营室,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935004
客户运营中心-政企运营室,20250727,1,,100%,73%,100%,100%,100%,100%,100%,2,P5,1753962935005
客户运营中心-政企运营室,20250727,2,,-,-,-,-,-,-,-,2,P0,1753962935006
客户运营中心-政企运营室,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935007
客户运营中心-政企运营室,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935008
客户运营中心-政企运营室,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935009
客户运营中心-政企运营室,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935010
客户运营中心-政企运营室,20250727,2,,100%,87%,100%,100%,100%,100%,100%,2,P5,1753962935011
客户运营中心-政企运营室,20250727,3,,-,-,-,-,-,-,-,2,P0,1753962935012
客户运营中心-政企运营室,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935013
客户运营中心-政企运营室,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935014
客户运营中心-政企运营室,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935015
客户运营中心-政企运营室,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935016
客户运营中心-政企运营室,20250727,3,,100%,98%,100%,100%,100%,100%,100%,2,P5,1753962935017
家庭中心,20250727,1,,-,-,-,-,-,-,-,2,P0,1753962935018
家庭中心,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935019
家庭中心,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935020
家庭中心,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935021
家庭中心,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935022
家庭中心,20250727,1,,100%,80%,100%,100%,100%,100%,100%,2,P5,1753962935023
家庭中心,20250727,2,,-,-,-,-,-,-,-,2,P0,1753962935024
家庭中心,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935025
家庭中心,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935026
家庭中心,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935027
家庭中心,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935028
家庭中心,20250727,2,,100%,80%,100%,100%,100%,100%,100%,2,P5,1753962935029
家庭中心,20250727,3,,-,-,-,-,-,-,-,2,P0,1753962935030
家庭中心,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935031
家庭中心,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935032
家庭中心,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935033
家庭中心,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935034
家庭中心,20250727,3,,100%,80%,100%,100%,100%,100%,100%,2,P5,1753962935035
市场部,20250727,1,,100%,61%,100%,100%,100%,100%,100%,2,P0,1753962935036
市场部,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935037
市场部,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935038
市场部,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935039
市场部,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935040
市场部,20250727,1,,100%,68%,100%,100%,100%,100%,100%,2,P5,1753962935041
市场部,20250727,2,,100%,85%,100%,100%,100%,100%,100%,2,P0,1753962935042
市场部,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935043
市场部,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935044
市场部,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935045
市场部,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935046
市场部,20250727,2,,100%,88%,100%,100%,100%,100%,100%,2,P5,1753962935047
市场部,20250727,3,,100%,88%,100%,100%,100%,100%,100%,2,P0,1753962935048
市场部,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935049
市场部,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935050
市场部,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935051
市场部,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935052
市场部,20250727,3,,100%,95%,100%,100%,100%,100%,100%,2,P5,1753962935053
政企客户中心,20250727,1,,100%,0%,100%,100%,100%,100%,100%,2,P0,1753962935054
政企客户中心,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935055
政企客户中心,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935056
政企客户中心,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935057
政企客户中心,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935058
政企客户中心,20250727,1,,-,-,-,-,-,-,-,2,P5,1753962935059
政企客户中心,20250727,2,,100%,67%,100%,100%,100%,100%,100%,2,P0,1753962935060
政企客户中心,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935061
政企客户中心,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935062
政企客户中心,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935063
政企客户中心,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935064
政企客户中心,20250727,2,,-,-,-,-,-,-,-,2,P5,1753962935065
政企客户中心,20250727,3,,100%,84%,100%,100%,100%,100%,100%,2,P0,1753962935066
政企客户中心,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935067
政企客户中心,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935068
政企客户中心,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935069
政企客户中心,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935070
政企客户中心,20250727,3,,-,-,-,-,-,-,-,2,P5,1753962935071
政企客户部,20250727,1,,99%,51%,100%,100%,100%,100%,100%,2,P0,1753962935072
政企客户部,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935073
政企客户部,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935074
政企客户部,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935075
政企客户部,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935076
政企客户部,20250727,1,,99%,22%,100%,100%,100%,100%,100%,2,P5,1753962935077
政企客户部,20250727,2,,99%,86%,100%,100%,100%,100%,100%,2,P0,1753962935078
政企客户部,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935079
政企客户部,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935080
政企客户部,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935081
政企客户部,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935082
政企客户部,20250727,2,,100%,79%,100%,100%,100%,100%,100%,2,P5,1753962935083
政企客户部,20250727,3,,100%,90%,100%,100%,100%,100%,100%,2,P0,1753962935084
政企客户部,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935085
政企客户部,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935086
政企客户部,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935087
政企客户部,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935088
政企客户部,20250727,3,,100%,88%,100%,100%,100%,100%,100%,2,P5,1753962935089
服务管理部,20250727,1,,100%,30%,100%,100%,100%,100%,100%,2,P0,1753962935090
服务管理部,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935091
服务管理部,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935092
服务管理部,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935093
服务管理部,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935094
服务管理部,20250727,1,,99%,50%,100%,100%,100%,100%,100%,2,P5,1753962935095
服务管理部,20250727,2,,100%,73%,100%,100%,100%,100%,100%,2,P0,1753962935096
服务管理部,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935097
服务管理部,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935098
服务管理部,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935099
服务管理部,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935100
服务管理部,20250727,2,,99%,85%,100%,100%,100%,100%,100%,2,P5,1753962935101
服务管理部,20250727,3,,100%,82%,100%,100%,100%,100%,100%,2,P0,1753962935102
服务管理部,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935103
服务管理部,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935104
服务管理部,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935105
服务管理部,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935106
服务管理部,20250727,3,,100%,98%,100%,100%,100%,100%,100%,2,P5,1753962935107
江门分公司,20250727,1,,-,-,-,-,-,-,-,2,P0,1753962935108
江门分公司,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935109
江门分公司,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935110
江门分公司,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935111
江门分公司,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935112
江门分公司,20250727,1,,100%,0%,100%,100%,100%,100%,100%,2,P5,1753962935113
江门分公司,20250727,2,,-,-,-,-,-,-,-,2,P0,1753962935114
江门分公司,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935115
江门分公司,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935116
江门分公司,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935117
江门分公司,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935118
江门分公司,20250727,2,,100%,70%,100%,100%,100%,100%,100%,2,P5,1753962935119
江门分公司,20250727,3,,-,-,-,-,-,-,-,2,P0,1753962935120
江门分公司,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935121
江门分公司,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935122
江门分公司,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935123
江门分公司,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935124
江门分公司,20250727,3,,100%,80%,100%,100%,100%,100%,100%,2,P5,1753962935125
渠道中心,20250727,1,,100%,17%,100%,100%,100%,100%,100%,2,P0,1753962935126
渠道中心,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935127
渠道中心,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935128
渠道中心,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935129
渠道中心,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935130
渠道中心,20250727,1,,-,-,-,-,-,-,-,2,P5,1753962935131
渠道中心,20250727,2,,100%,69%,100%,100%,100%,100%,100%,2,P0,1753962935132
渠道中心,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935133
渠道中心,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935134
渠道中心,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935135
渠道中心,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935136
渠道中心,20250727,2,,-,-,-,-,-,-,-,2,P5,1753962935137
渠道中心,20250727,3,,100%,84%,100%,100%,100%,100%,100%,2,P0,1753962935138
渠道中心,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935139
渠道中心,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935140
渠道中心,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935141
渠道中心,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935142
渠道中心,20250727,3,,-,-,-,-,-,-,-,2,P5,1753962935143
渠道运营中心,20250727,1,,100%,49%,100%,100%,100%,100%,100%,2,P0,1753962935144
渠道运营中心,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935145
渠道运营中心,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935146
渠道运营中心,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935147
渠道运营中心,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935148
渠道运营中心,20250727,1,,100%,46%,100%,100%,100%,100%,100%,2,P5,1753962935149
渠道运营中心,20250727,2,,100%,86%,100%,100%,100%,100%,100%,2,P0,1753962935150
渠道运营中心,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935151
渠道运营中心,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935152
渠道运营中心,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935153
渠道运营中心,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935154
渠道运营中心,20250727,2,,100%,79%,100%,100%,100%,100%,100%,2,P5,1753962935155
渠道运营中心,20250727,3,,100%,90%,100%,100%,100%,100%,100%,2,P0,1753962935156
渠道运营中心,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935157
渠道运营中心,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935158
渠道运营中心,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935159
渠道运营中心,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935160
渠道运营中心,20250727,3,,100%,92%,100%,100%,100%,100%,100%,2,P5,1753962935161
网格和渠道运营中心,20250727,1,,100%,100%,100%,100%,100%,100%,100%,2,P0,1753962935162
